geneId,msEntrez,geneSymbol,DSI,DPI,diseaseId,diseaseName,diseaseType,diseaseClass,diseaseSemanticType,score,EI,YearInitial,YearFinal,NofPmids,NofSnps,source
551,13616,AVP,0.486,0.759,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.04,0.75,2005,2018,4,0,BEFREE
627,13872,BDNF,0.382,0.828,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.03,0.666666666666667,2011,2018,3,2,BEFREE
831,14430,CAST,0.565,0.724,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.01,1,2012,2012,1,0,BEFREE
886,14527,CCKAR,0.642,0.31,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,,1999,1999,1,0,CTD_human
952,14634,CD38,0.481,0.828,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.01,1,2009,2009,1,0,BEFREE
1121,15288,CHM,0.663,0.379,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.01,1,2009,2009,1,0,BEFREE
1136,15288,CHRNA3,0.584,0.448,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,,2009,2009,1,0,CTD_human
1137,15356,CHRNA4,0.521,0.586,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.01,0,2011,2011,1,0,BEFREE
1138,15356,CHRNA5,0.598,0.414,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2009,2014,2,0,BEFREE;CTD_human
1142,15356,CHRNB3,0.727,0.207,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.01,1,2015,2015,1,0,BEFREE
1268,16449,CNR1,0.47,0.69,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.01,1,2014,2014,1,0,BEFREE
1312,268482,COMT,0.426,0.897,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,,1999,1999,1,0,CTD_human
1392,16956,CRH,0.456,0.759,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.02,1,2012,2018,2,0,BEFREE
1393,16956,CRHBP,0.701,0.345,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.01,1,2012,2012,1,1,BEFREE
1394,16956,CRHR1,0.545,0.69,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.02,1,2006,2012,2,1,BEFREE
1571,18015,CYP2E1,0.473,0.759,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,,2011,2011,1,0,CTD_human
1813,54128,DRD2,0.454,0.724,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.03,1,2007,2012,3,0,BEFREE
1815,54128,DRD4,0.536,0.414,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.01,1,2012,2012,1,0,BEFREE
2067,20682,ERCC1,0.463,0.724,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2013,2013,1,0,BEFREE;PSYGENET
2131,21823,EXT1,0.577,0.655,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.01,1,2015,2015,1,0,BEFREE
2488,16184,FSHB,0.648,0.483,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,,1996,1996,1,0,CTD_human
2550,17855,GABBR1,0.633,0.552,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,,2012,2012,1,0,CTD_human
2554,17855,GABRA1,0.596,0.414,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.01,1,2016,2016,1,0,BEFREE
2555,17855,GABRA2,0.663,0.207,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.37,0.714285714285714,2009,2015,8,1,BEFREE;CTD_human
2565,17970,GABRG1,0.785,0.172,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.01,0,2009,2009,1,0,BEFREE
2566,17970,GABRG2,0.6,0.31,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,,2012,2012,1,0,CTD_human
2626,18810,GATA4,0.482,0.724,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,,2012,2012,1,0,CTD_human
2678,20494,GGT1,0.557,0.759,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,,2003,2003,1,0,CTD_human
2693,20655,GHSR,0.565,0.621,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2014,2016,2,0,BEFREE;CTD_human
2740,211389,GLP1R,0.598,0.586,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.01,1,2016,2016,1,1,BEFREE
2904,12961,GRIN2B,0.561,0.483,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.01,1,2016,2016,1,0,BEFREE
3356,21354,HTR2A,0.488,0.759,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,,,,0,0,CTD_human
3359,21354,HTR3A,0.639,0.31,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.01,1,2009,2009,1,0,BEFREE;PSYGENET
3360,21354,HTR4,0.645,0.552,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2014,2014,1,2,BEFREE;PSYGENET
3363,21354,HTR7,0.607,0.379,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.01,1,2015,2015,1,0,BEFREE
3553,16409,IL1B,0.312,0.931,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.01,1,2013,2013,1,0,BEFREE
3569,12043,IL6,0.287,0.966,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.01,1,2016,2016,1,0,BEFREE
3576,20656,CXCL8,0.342,0.862,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.01,1,2016,2016,1,0,BEFREE
3972,11438,LHB,0.652,0.379,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,,1996,1996,1,0,CTD_human
4174,14394,MCM5,0.676,0.621,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2013,2013,1,0,BEFREE;PSYGENET
4524,17313,MTHFR,0.354,0.828,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.01,1,2011,2011,1,0,BEFREE
4852,19038,NPY,0.469,0.69,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,,2007,2007,1,0,CTD_human
4887,19076,NPY2R,0.645,0.379,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,,2009,2009,1,0,CTD_human
4988,19224,OPRM1,0.479,0.759,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.35,1,2004,2016,6,1,BEFREE;CTD_human
5173,27050,PDYN,0.528,0.414,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,,2007,2009,2,0,CTD_human
5295,20133,PIK3R1,0.515,0.793,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.01,1,2008,2008,1,0,BEFREE
5496,22637,PPM1G,0.886,0.069,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2015,2015,1,0,BEFREE;PSYGENET
5584,104112,PRKCI,0.63,0.414,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.01,0,2016,2016,1,0,BEFREE
5726,11520,TAS2R38,0.592,0.655,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,,2007,2007,1,0,CTD_human
6303,23844,SAT1,0.546,0.759,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2014,2014,1,0,BEFREE;PSYGENET
6462,110750,SHBG,0.512,0.621,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,,1996,1996,1,0,CTD_human
6532,13016,SLC6A4,0.446,0.724,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2004,2011,3,0,BEFREE;CTD_human
6622,110197,SNCA,0.513,0.793,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2008,2009,2,0,BEFREE;CTD_human
6869,13478,TACR1,0.559,0.724,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2010,2013,2,0,BEFREE;CTD_human
6870,13478,TACR3,0.582,0.552,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,,2008,2008,1,0,CTD_human
7018,13637,TF,0.548,0.724,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,,2001,2012,2,0,CTD_human
7055,209354,THAS,0.656,0.379,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.01,1,2012,2012,1,0,BEFREE
7097,13732,TLR2,0.407,0.897,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.01,1,2016,2016,1,0,BEFREE
7099,328572,TLR4,0.359,0.931,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.02,1,2016,2018,2,0,BEFREE
7450,23894,VWF,0.462,0.724,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2014,2014,1,0,BEFREE;PSYGENET
8864,12615,PER2,0.548,0.793,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.02,1,2013,2014,2,1,BEFREE
9095,12960,TBX19,0.72,0.345,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,,2008,2008,1,0,CTD_human
9531,13829,BAG3,0.558,0.69,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2014,2014,1,0,BEFREE;PSYGENET
9572,14027,NR1D1,0.648,0.483,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.01,1,2016,2016,1,0,BEFREE
9575,14027,CLOCK,0.505,0.897,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.03,1,2010,2015,3,0,BEFREE
9607,14062,CARTPT,0.633,0.448,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.01,1,2010,2010,1,0,BEFREE
9705,14173,ST18,0.727,0.448,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2014,2014,1,0,BEFREE;PSYGENET
10243,15430,GPHN,0.663,0.379,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,,2012,2012,1,0,CTD_human
10327,15902,AKR1A1,0.538,0.759,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.04,0.75,2005,2018,4,0,BEFREE
23552,64292,CDK20,0.72,0.379,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,,2008,2008,1,0,CTD_human
50833,27418,TAS2R16,0.785,0.138,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,,2006,2007,2,0,CTD_human
50838,210135,TAS2R13,0.707,0.379,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2014,2014,1,1,BEFREE;PSYGENET
54970,228536,TTC12,0.799,0.172,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.01,1,2012,2012,1,0,BEFREE
55213,68652,RCBTB1,0.72,0.345,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,,,,0,0,CTD_human
79365,94047,BHLHE41,0.663,0.414,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.01,1,2016,2016,1,0,BEFREE
121278,228911,TPH2,0.562,0.552,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.02,1,2009,2016,2,0,BEFREE;PSYGENET
168400,14539,DDX53,0.58,0.655,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.01,1,2009,2009,1,0,BEFREE
255239,665596,ANKK1,0.624,0.414,C0001956,Alcohol Use Disorder,disease,C25;F03,Mental or Behavioral Dysfunction,0.01,1,2012,2012,1,0,BEFREE
125,17025,ADH1B,0.525,0.759,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.33,1,2006,2015,6,0,BEFREE;PSYGENET
126,17025,ADH1C,0.567,0.655,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.32,1,2007,2015,5,0,BEFREE;PSYGENET
216,109900,ALDH1A1,0.515,0.724,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,1988,1988,1,0,BEFREE;PSYGENET
217,109900,ALDH2,0.481,0.862,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.35,1,1983,2014,9,0,BEFREE;PSYGENET
590,13849,BCHE,0.503,0.793,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,1986,1986,1,0,PSYGENET
627,13872,BDNF,0.382,0.828,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,2001,2001,1,0,PSYGENET
930,14609,CD19,0.483,0.724,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,2014,2014,1,0,PSYGENET
958,104174,CD40,0.433,0.862,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.01,1,2008,2008,1,0,BEFREE
1103,15233,CHAT,0.559,0.655,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,1986,1986,1,0,PSYGENET
1351,24051,COX8A,0.461,0.793,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,2001,2001,1,0,PSYGENET
1815,54128,DRD4,0.536,0.414,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.31,0.666666666666667,2005,2007,3,0,BEFREE;PSYGENET
1974,19133,EIF4A2,0.659,0.517,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,2000,2000,1,0,PSYGENET
2261,11634,FGFR3,0.417,0.759,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.01,1,2000,2000,1,0,BEFREE
2534,18472,FYN,0.594,0.621,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,2009,2009,1,0,PSYGENET
2554,17855,GABRA1,0.596,0.414,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,2006,2006,1,0,PSYGENET
2555,17855,GABRA2,0.663,0.207,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.01,1,2015,2015,1,0,BEFREE
2897,12961,GRIK1,0.642,0.345,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,2014,2014,1,0,PSYGENET
2908,58992,NR3C1,0.427,0.793,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2011,2012,2,0,BEFREE;PSYGENET
3308,14473,HSPA4,0.441,0.793,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,1998,1998,1,0,PSYGENET
3576,20656,CXCL8,0.342,0.862,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,2005,2005,1,0,PSYGENET
3606,14782,IL18,0.404,0.862,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,2011,2011,1,0,PSYGENET
3929,12424,LBP,0.627,0.517,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,2006,2006,1,0,PSYGENET
4353,14866,MPO,0.435,0.931,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,2014,2014,1,0,PSYGENET
4524,17313,MTHFR,0.354,0.828,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2008,2014,5,0,BEFREE;PSYGENET
4790,18976,NFKB1,0.365,0.931,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.01,1,2008,2008,1,0,BEFREE
4988,19224,OPRM1,0.479,0.759,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,2008,2014,5,0,PSYGENET
5444,103733,PON1,0.443,0.828,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,2003,2003,1,0,PSYGENET
5970,12007,RELA,0.456,0.828,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,2008,2008,1,0,PSYGENET
5972,12007,REN,0.423,0.759,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,1997,1998,2,0,PSYGENET
6480,110750,ST6GAL1,0.636,0.517,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,2007,2007,1,0,PSYGENET
6532,13016,SLC6A4,0.446,0.724,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,2011,2011,1,0,PSYGENET
6616,13139,SNAP25,0.536,0.655,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.01,1,2010,2010,1,0,BEFREE
6648,226414,SOD2,0.396,0.897,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,2014,2014,1,0,PSYGENET
7157,13983,TP53,0.251,0.897,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2000,2009,2,0,BEFREE;PSYGENET
8864,12615,PER2,0.548,0.793,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,,2005,2005,1,0,CTD_human
8874,12617,ARHGEF7,0.533,0.724,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.01,1,2008,2008,1,0,BEFREE
10327,15902,AKR1A1,0.538,0.759,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,1980,2012,6,0,BEFREE;PSYGENET
23054,22319,NCOA6,0.648,0.621,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.01,1,2015,2015,1,0,BEFREE
51008,76482,ASCC1,0.54,0.724,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.01,1,2008,2008,1,0,BEFREE
9,11364,NAT1,0.564,0.724,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2000,2000,1,0,BEFREE;PSYGENET
18,11370,ABAT,0.639,0.276,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.01,1,1996,1996,1,0,BEFREE
28,110446,ABO,0.491,0.828,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.32,1,1989,1991,2,0,BEFREE;PSYGENET
107,11606,ADCY1,0.762,0.31,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.01,1,2013,2013,1,0,BEFREE
111,17025,ADCY5,0.645,0.448,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,2011,2011,1,0,PSYGENET
113,17025,ADCY7,0.685,0.345,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2011,2011,1,0,BEFREE;PSYGENET
124,17025,ADH1A,0.676,0.448,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.33,1,1999,2013,5,1,BEFREE;PSYGENET
125,17025,ADH1B,0.525,0.759,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.7,1,1994,2018,97,4,BEFREE;CTD_human;GWASCAT;GWASDB;PSYGENET
126,17025,ADH1C,0.567,0.655,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.7,1,1991,2018,50,9,BEFREE;CTD_human;GWASCAT;PSYGENET
127,17025,ADH4,0.672,0.379,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.4,1,1997,2015,12,6,BEFREE;PSYGENET
128,17025,ADH5,0.659,0.517,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.32,1,1997,2006,2,0,BEFREE;PSYGENET
