geneId,msEntrez,geneSymbol,DSI,DPI,diseaseId,diseaseName,diseaseType,diseaseClass,diseaseSemanticType,score,EI,YearInitial,YearFinal,NofPmids,source
627,13872,BDNF,0.382,0.828,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,2001,2001,1,PSYGENET
930,14609,CD19,0.483,0.724,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,2014,2014,1,PSYGENET
1103,15233,CHAT,0.559,0.655,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,1986,1986,1,PSYGENET
1351,24051,COX8A,0.461,0.793,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,2001,2001,1,PSYGENET
1815,54128,DRD4,0.536,0.414,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.31,0.666666666666667,2005,2007,3,PSYGENET
1974,19133,EIF4A2,0.659,0.517,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,2000,2000,1,PSYGENET
2534,18472,FYN,0.594,0.621,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,2009,2009,1,PSYGENET
2554,17855,GABRA1,0.596,0.414,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,2006,2006,1,PSYGENET
2897,12961,GRIK1,0.642,0.345,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,2014,2014,1,PSYGENET
2908,58992,NR3C1,0.427,0.793,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2011,2012,2,PSYGENET
3308,14473,HSPA4,0.441,0.793,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,1998,1998,1,PSYGENET
3576,20656,CXCL8,0.342,0.862,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,2005,2005,1,PSYGENET
3606,14782,IL18,0.404,0.862,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,2011,2011,1,PSYGENET
3929,12424,LBP,0.627,0.517,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,2006,2006,1,PSYGENET
4353,14866,MPO,0.435,0.931,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,2014,2014,1,PSYGENET
4524,17313,MTHFR,0.354,0.828,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2008,2014,5,PSYGENET
4988,19224,OPRM1,0.479,0.759,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,2008,2014,5,PSYGENET
5444,103733,PON1,0.443,0.828,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,2003,2003,1,PSYGENET
5970,12007,RELA,0.456,0.828,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,2008,2008,1,PSYGENET
5972,12007,REN,0.423,0.759,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,1997,1998,2,PSYGENET
6480,110750,ST6GAL1,0.636,0.517,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,2007,2007,1,PSYGENET
6532,13016,SLC6A4,0.446,0.724,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,2011,2011,1,PSYGENET
6648,226414,SOD2,0.396,0.897,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,2014,2014,1,PSYGENET
7157,13983,TP53,0.251,0.897,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2000,2009,2,PSYGENET
10327,15902,AKR1A1,0.538,0.759,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,1980,2012,5,PSYGENET
125,17025,ADH1B,0.525,0.759,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.33,1,2006,2015,6,PSYGENET
217,109900,ALDH2,0.481,0.862,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.35,1,1983,2014,9,PSYGENET
10327,15902,AKR1A1,0.538,0.759,C0001969,Alcoholic Intoxication,disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,1980,2012,6,PSYGENET
9,11364,NAT1,0.564,0.724,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2000,2000,1,PSYGENET
28,110446,ABO,0.491,0.828,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.32,1,1989,1991,2,PSYGENET
111,17025,ADCY5,0.645,0.448,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,2011,2011,1,PSYGENET
113,17025,ADCY7,0.685,0.345,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2011,2011,1,PSYGENET
124,17025,ADH1A,0.676,0.448,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.33,1,1999,2013,5,PSYGENET
125,17025,ADH1B,0.525,0.759,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.7,1,1994,2018,8,PSYGENET
126,17025,ADH1C,0.567,0.655,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.7,1,1991,2018,6,PSYGENET
127,17025,ADH4,0.672,0.379,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.4,1,1997,2015,4,PSYGENET
128,17025,ADH5,0.659,0.517,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.32,1,1997,2006,1,PSYGENET
130,11656,ADH6,0.834,0.207,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2013,2013,1,PSYGENET
131,11656,ADH7,0.656,0.448,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.36,1,2004,2015,5,PSYGENET
150,229665,ADRA2A,0.633,0.414,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.32,1,2008,2012,2,PSYGENET
216,109900,ALDH1A1,0.515,0.724,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.38,1,1983,2015,5,PSYGENET
217,109900,ALDH2,0.481,0.862,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.7,1,1991,2018,7,PSYGENET
222,11484,ALDH3B2,1,0.069,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2013,2013,1,PSYGENET
238,11977,ALK,0.448,0.724,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,2012,2012,1,PSYGENET
348,11448,APOE,0.352,0.931,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.35,0.75,2002,2008,4,PSYGENET
367,71991,AR,0.38,0.793,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.32,1,2011,2015,2,PSYGENET
410,12836,ARSA,0.547,0.724,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.33,1,1984,2002,4,PSYGENET
460,12896,ASTN1,0.815,0.138,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2012,2012,1,PSYGENET
627,13872,BDNF,0.382,0.828,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.4,0.4,2005,2015,5,PSYGENET
635,13872,BHMT,0.616,0.483,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,2015,2015,1,PSYGENET
796,14343,CALCA,0.456,0.828,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.01,1,2004,2004,1,PSYGENET
814,14635,CAMK4,0.659,0.621,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.02,1,2008,2018,1,PSYGENET
815,14635,CAMK2A,0.672,0.31,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2014,2014,1,PSYGENET
833,14430,CARS,0.773,0.345,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,2011,2011,1,PSYGENET
847,74185,CAT,0.397,0.828,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.32,1,1996,2015,2,PSYGENET
885,14527,CCK,0.513,0.655,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.34,0.5,1998,2005,2,PSYGENET
886,14527,CCKAR,0.642,0.31,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.53,0.8,1999,2005,6,PSYGENET
1003,14751,CDH5,0.656,0.448,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,2013,2013,1,PSYGENET
1006,14751,CDH8,0.815,0.276,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,2013,2013,1,PSYGENET
1007,14751,CDH9,0.834,0.207,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,2013,2013,1,PSYGENET
1008,14751,CDH10,0.799,0.207,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,2013,2013,1,PSYGENET
1009,14751,CDH11,0.561,0.724,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2012,2013,2,PSYGENET
1010,14751,CDH12,0.815,0.276,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.3,0.5,2012,2013,2,PSYGENET
1012,14751,CDH13,0.529,0.793,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2009,2013,3,PSYGENET
1013,14751,CDH15,0.696,0.517,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,2013,2013,1,PSYGENET
1016,14751,CDH18,0.928,0.103,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,2013,2013,1,PSYGENET
1080,97212,CFTR,0.453,0.793,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,1998,1998,1,PSYGENET
1109,15233,AKR1C4,0.659,0.586,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2012,2012,1,PSYGENET
1129,15288,CHRM2,0.596,0.586,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.39,1,2005,2014,5,PSYGENET
1136,15288,CHRNA3,0.584,0.448,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.53,1,2009,2014,4,PSYGENET
1137,15356,CHRNA4,0.521,0.586,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.32,1,2005,2013,4,PSYGENET
1138,15356,CHRNA5,0.598,0.414,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.55,1,2009,2013,5,PSYGENET
1142,15356,CHRNB3,0.727,0.207,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2014,2014,1,PSYGENET
1143,15356,CHRNB4,0.642,0.345,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.33,1,2009,2012,3,PSYGENET
1268,16449,CNR1,0.47,0.69,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.37,1,2002,2015,5,PSYGENET
1269,16449,CNR2,0.554,0.621,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2008,2008,1,PSYGENET
1385,15450,CREB1,0.494,0.793,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.33,1,2008,2016,3,PSYGENET
1392,16956,CRH,0.456,0.759,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.34,1,2004,2013,5,PSYGENET
1393,16956,CRHBP,0.701,0.345,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.32,1,2009,2012,3,PSYGENET
1394,16956,CRHR1,0.545,0.69,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.4,1,2005,2016,5,PSYGENET
1496,17921,CTNNA2,0.785,0.207,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2014,2014,1,PSYGENET
1553,19206,CYP2A13,0.681,0.379,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2013,2013,1,PSYGENET
1555,17986,CYP2B6,0.437,0.828,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,2003,2006,2,PSYGENET
1571,18015,CYP2E1,0.473,0.759,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.6,1,1995,2015,6,PSYGENET
1621,53885,DBH,0.557,0.621,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.39,1,1983,2015,5,PSYGENET
1636,18242,ACE,0.367,0.897,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.32,1,2005,2013,3,PSYGENET
1808,54128,DPYSL2,0.63,0.517,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2014,2014,1,PSYGENET
1812,54128,DRD1,0.555,0.517,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.33,0.8,2003,2015,5,PSYGENET
1813,54128,DRD2,0.454,0.724,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.4,0.8,1990,2017,5,PSYGENET
1814,54128,DRD3,0.527,0.552,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.4,0.8,1996,2015,5,PSYGENET
1815,54128,DRD4,0.536,0.414,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.4,1,1995,2016,5,PSYGENET
1850,19044,DUSP8,0.857,0.207,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.01,1,2004,2004,1,PSYGENET
1892,19226,ECHS1,0.69,0.379,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,2015,2015,1,PSYGENET
1950,110391,EGF,0.386,0.897,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.3,0.5,2009,2010,2,PSYGENET
1956,110391,EGFR,0.325,0.862,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2007,2016,1,PSYGENET
2030,20495,SLC29A1,0.604,0.586,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2011,2011,2,PSYGENET
2033,20495,EP300,0.489,0.828,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,1993,1993,1,PSYGENET
2046,20497,EPHA8,0.656,0.414,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,2004,2004,1,PSYGENET
2052,20595,EPHX1,0.51,0.759,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2013,2013,1,PSYGENET
2169,22017,FABP2,0.645,0.414,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2000,2000,1,PSYGENET
2185,22095,PTK2B,0.502,0.69,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2004,2004,1,PSYGENET
2289,57279,FKBP5,0.572,0.655,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,2010,2010,1,PSYGENET
2348,12751,FOLR1,0.557,0.724,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,2008,2008,1,PSYGENET
2534,18472,FYN,0.594,0.621,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.32,1,2000,2009,1,PSYGENET
2550,17855,GABBR1,0.633,0.552,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.54,0.5,1999,2016,5,PSYGENET
2554,17855,GABRA1,0.596,0.414,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.33,0.666666666666667,2003,2010,3,PSYGENET
2555,17855,GABRA2,0.663,0.207,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.6,0.8,2004,2016,6,PSYGENET
2558,17855,GABRA5,0.652,0.276,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2003,2003,1,PSYGENET
2559,17970,GABRA6,0.672,0.379,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.33,0.666666666666667,1999,2005,3,PSYGENET
2560,17970,GABRB1,0.696,0.345,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.34,1,1999,2006,5,PSYGENET
2561,17970,GABRB2,0.743,0.276,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.32,0.666666666666667,2005,2010,3,PSYGENET
2562,17970,GABRB3,0.572,0.517,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.34,1,1999,2013,4,PSYGENET
2565,17970,GABRG1,0.785,0.172,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.33,1,2008,2014,4,PSYGENET
2566,17970,GABRG2,0.6,0.31,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.52,1,2005,2015,3,PSYGENET
2567,17970,GABRG3,0.752,0.345,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.32,1,2004,2016,1,PSYGENET
2569,18010,GABRR1,0.834,0.103,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2010,2010,1,PSYGENET
2570,18010,GABRR2,0.815,0.103,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2010,2010,1,PSYGENET
2571,18010,GAD1,0.542,0.724,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.34,1,1988,2014,5,PSYGENET
2572,18010,GAD2,0.557,0.621,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.03,0.666666666666667,2006,2009,2,PSYGENET
2587,67041,GALR1,0.713,0.207,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.01,0,2007,2007,1,PSYGENET
2596,67041,GAP43,0.624,0.517,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2006,2006,1,PSYGENET
2597,67041,GAPDH,0.484,0.793,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.31,1,2010,2010,1,PSYGENET
2688,20494,GH1,0.438,0.793,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.33,1,1991,2010,5,PSYGENET
2736,211389,GLI2,0.504,0.759,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.3,1,2009,2009,1,PSYGENET
2752,21410,GLUL,0.557,0.586,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.33,1,2006,2010,2,PSYGENET
2784,12021,GNB3,0.533,0.724,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.01,1,2007,2007,1,PSYGENET
2897,12961,GRIK1,0.642,0.345,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.32,1,2010,2016,1,PSYGENET
2899,12961,GRIK3,0.727,0.379,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.32,0.5,2006,2013,2,PSYGENET
2902,12961,GRIN1,0.63,0.448,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.34,1,2003,2013,3,PSYGENET
2903,12961,GRIN2A,0.577,0.414,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.34,1,2008,2016,4,PSYGENET
2904,12961,GRIN2B,0.561,0.483,C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,Mental or Behavioral Dysfunction,0.38,0.8,2003,2015,5,PSYGENET
